code;fishing_depth;lon;lat
30108;190;156.15;58.76667
30108;200;155.86667;58.63333
30108;210;155.65;58.63333
27678;200;155.58333;58.06667
27678;130;155.35;58
28118;330;155.61667;58.1
28118;370;154.96667;58.01667
28376;250;154.9;58.03333
28562;330;155.63333;58.1
28562;360;155.2;58.03333
28562;560;154.06667;56.98333
28562;365;154.25;56.88333
28697;290;148.65;55.6
28697;260;148.3;55.66667
28697;300;148.81667;55.5
28697;210;148.23333;55.66667
10023;367;155.13333;58.01667
10072;175;156.15;58.76667
10072;185;155.75;58.63333
10072;280;156.36667;58.83333
11530;340;155.7;58.18333
11530;340;155.3;58.06667
11530;350;155.65;51.01667
11530;350;155.58333;58
10640;150;155.03333;58.01667
10640;140;155.63333;58.11667
10640;150;155;58.06667
